event_id,event_date,storm_group_id,storm_min_time_ut,min_symh_or_dst,storm_class,include_reason,phase_window,priority_level,opportunity_type
storm_001_2011020421_20110203,2011-02-03,storm_001_2011020421,2011-02-04T21:30:00Z,-63.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_001_2011020421_20110204,2011-02-04,storm_001_2011020421,2011-02-04T21:30:00Z,-63.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_002_2011020508_20110204,2011-02-04,storm_002_2011020508,2011-02-05T08:30:00Z,-54.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_001_2011020421_20110205,2011-02-05,storm_001_2011020421,2011-02-04T21:30:00Z,-63.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_002_2011020508_20110205,2011-02-05,storm_002_2011020508,2011-02-05T08:30:00Z,-54.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_002_2011020508_20110206,2011-02-06,storm_002_2011020508,2011-02-05T08:30:00Z,-54.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_003_2011030114_20110228,2011-02-28,storm_003_2011030114,2011-03-01T14:30:00Z,-88.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_004_2011030120_20110228,2011-02-28,storm_004_2011030120,2011-03-01T20:30:00Z,-64.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_003_2011030114_20110301,2011-03-01,storm_003_2011030114,2011-03-01T14:30:00Z,-88.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_004_2011030120_20110301,2011-03-01,storm_004_2011030120,2011-03-01T20:30:00Z,-64.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_003_2011030114_20110302,2011-03-02,storm_003_2011030114,2011-03-01T14:30:00Z,-88.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_004_2011030120_20110302,2011-03-02,storm_004_2011030120,2011-03-01T20:30:00Z,-64.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_005_2011031105_20110310,2011-03-10,storm_005_2011031105,2011-03-11T05:30:00Z,-83.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_006_2011031118_20110310,2011-03-10,storm_006_2011031118,2011-03-11T18:30:00Z,-53.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_007_2011031121_20110310,2011-03-10,storm_007_2011031121,2011-03-11T21:30:00Z,-64.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_005_2011031105_20110311,2011-03-11,storm_005_2011031105,2011-03-11T05:30:00Z,-83.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_006_2011031118_20110311,2011-03-11,storm_006_2011031118,2011-03-11T18:30:00Z,-53.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_007_2011031121_20110311,2011-03-11,storm_007_2011031121,2011-03-11T21:30:00Z,-64.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_005_2011031105_20110312,2011-03-12,storm_005_2011031105,2011-03-11T05:30:00Z,-83.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_006_2011031118_20110312,2011-03-12,storm_006_2011031118,2011-03-11T18:30:00Z,-53.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_007_2011031121_20110312,2011-03-12,storm_007_2011031121,2011-03-11T21:30:00Z,-64.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_008_2011040618_20110405,2011-04-05,storm_008_2011040618,2011-04-06T18:30:00Z,-60.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_008_2011040618_20110406,2011-04-06,storm_008_2011040618,2011-04-06T18:30:00Z,-60.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_008_2011040618_20110407,2011-04-07,storm_008_2011040618,2011-04-06T18:30:00Z,-60.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_009_2011052811_20110527,2011-05-27,storm_009_2011052811,2011-05-28T11:30:00Z,-80.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_010_2011052823_20110527,2011-05-27,storm_010_2011052823,2011-05-28T23:30:00Z,-56.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_009_2011052811_20110528,2011-05-28,storm_009_2011052811,2011-05-28T11:30:00Z,-80.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_010_2011052823_20110528,2011-05-28,storm_010_2011052823,2011-05-28T23:30:00Z,-56.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_011_2011052906_20110528,2011-05-28,storm_011_2011052906,2011-05-29T06:30:00Z,-54.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_012_2011052911_20110528,2011-05-28,storm_012_2011052911,2011-05-29T11:30:00Z,-52.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_009_2011052811_20110529,2011-05-29,storm_009_2011052811,2011-05-28T11:30:00Z,-80.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_010_2011052823_20110529,2011-05-29,storm_010_2011052823,2011-05-28T23:30:00Z,-56.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_011_2011052906_20110529,2011-05-29,storm_011_2011052906,2011-05-29T06:30:00Z,-54.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_012_2011052911_20110529,2011-05-29,storm_012_2011052911,2011-05-29T11:30:00Z,-52.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_011_2011052906_20110530,2011-05-30,storm_011_2011052906,2011-05-29T06:30:00Z,-54.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_012_2011052911_20110530,2011-05-30,storm_012_2011052911,2011-05-29T11:30:00Z,-52.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_013_2011070500_20110704,2011-07-04,storm_013_2011070500,2011-07-05T00:30:00Z,-59.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
storm_013_2011070500_20110705,2011-07-05,storm_013_2011070500,2011-07-05T00:30:00Z,-59.0,moderate_storm,dst_threshold_pm1,storm_min_day,primary,storm_index_selected
storm_013_2011070500_20110706,2011-07-06,storm_013_2011070500,2011-07-05T00:30:00Z,-59.0,moderate_storm,dst_threshold_pm1,storm_day_plus_1,primary,storm_index_selected
storm_014_2011080603_20110804,2011-08-04,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_2,major_subset,storm_index_selected
storm_014_2011080603_20110805,2011-08-05,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_1,major_subset,storm_index_selected
storm_014_2011080603_20110806,2011-08-06,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_min_day,major_subset,storm_index_selected
storm_015_2011080702_20110806,2011-08-06,storm_015_2011080702,2011-08-07T02:30:00Z,-54.0,moderate_storm,dst_threshold_pm1,storm_day_minus_1,primary,storm_index_selected
