probe,ut_start,ut_end,n_points,median_e_mvm,p95_e_mvm,max_e_mvm
RBSP-A,8.2667,8.2667,1,7.3947,7.3947,7.3947
RBSP-A,8.6167,8.6500,3,10.4746,11.8479,12.0005
RBSP-A,8.8833,8.8833,1,16.1062,16.1062,16.1062
RBSP-A,8.9333,8.9667,3,5.7876,9.2672,9.6539
RBSP-A,10.0167,10.0167,1,5.2891,5.2891,5.2891
RBSP-A,11.1833,11.2333,4,6.3602,9.6886,10.2669
RBSP-A,11.5167,11.5667,4,6.8914,8.7536,8.7819
RBSP-A,15.7333,15.8667,9,7.1298,8.8386,9.1924
RBSP-A,15.9167,15.9500,3,5.3637,5.5278,5.5461
RBSP-A,16.0333,16.0333,1,5.1097,5.1097,5.1097
RBSP-A,16.6167,16.6667,4,5.3619,8.5985,9.1556
RBSP-A,17.0167,17.0333,2,7.3769,9.1931,9.3950
RBSP-A,17.0833,17.0833,1,6.3398,6.3398,6.3398
RBSP-A,17.5167,17.5167,1,5.3493,5.3493,5.3493
RBSP-A,17.5667,17.5667,1,7.4845,7.4845,7.4845
RBSP-A,17.6167,17.6500,3,6.5480,9.2044,9.4996
RBSP-A,17.9000,17.9000,1,6.4951,6.4951,6.4951
RBSP-A,18.1667,18.1833,2,5.8894,6.6521,6.7368
RBSP-A,19.9667,20.3333,23,9.5330,13.1076,13.5494
RBSP-B,4.7833,4.7833,1,6.9066,6.9066,6.9066
RBSP-B,7.0667,7.0667,1,5.3535,5.3535,5.3535
RBSP-B,12.9667,13.0167,4,7.3578,8.1899,8.3052
RBSP-B,13.1333,13.1333,1,6.2093,6.2093,6.2093
RBSP-B,13.2500,13.2500,1,9.1875,9.1875,9.1875
RBSP-B,13.3667,13.4000,3,7.3726,7.9429,8.0063
RBSP-B,13.5000,13.5167,2,6.1913,7.1701,7.2788
RBSP-B,13.5833,13.6000,2,7.4381,8.9647,9.1343
RBSP-B,13.9333,14.0000,5,5.9691,11.6704,12.5513
RBSP-B,14.0667,14.0667,1,8.9234,8.9234,8.9234
RBSP-B,14.1333,14.1333,1,5.6574,5.6574,5.6574
RBSP-B,14.3333,14.3500,2,5.7788,6.1423,6.1827
RBSP-B,14.4333,14.4500,2,7.3014,7.7629,7.8142
RBSP-B,14.7500,14.8500,7,5.4356,7.2889,7.3388
RBSP-B,15.1667,15.1667,1,7.3074,7.3074,7.3074
RBSP-B,15.7667,15.7667,1,5.3793,5.3793,5.3793
RBSP-B,15.8333,15.8333,1,13.5720,13.5720,13.5720
RBSP-B,15.9000,15.9667,5,5.3912,6.4741,6.6516
RBSP-B,16.0333,16.0667,3,10.0645,12.4861,12.7552
RBSP-B,17.0000,17.0000,1,5.9522,5.9522,5.9522
RBSP-B,17.2333,17.2667,3,5.0655,5.4996,5.5478
RBSP-B,17.5500,17.6333,6,8.4778,14.6765,15.5009
RBSP-B,17.6833,18.2000,32,10.1092,11.4303,11.5770
RBSP-B,21.2667,21.4667,13,7.2007,8.6002,9.2783
