event_id,event_date,storm_group_id,storm_min_time_ut,min_symh_or_dst,storm_class,include_reason,phase_window,priority_level
storm_014_2011080603_20110804,2011-08-04,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_2,major_subset
storm_014_2011080603_20110805,2011-08-05,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_1,major_subset
storm_014_2011080603_20110806,2011-08-06,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_min_day,major_subset
storm_014_2011080603_20110807,2011-08-07,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_1,major_subset
storm_014_2011080603_20110808,2011-08-08,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_2,major_subset
storm_014_2011080603_20110809,2011-08-09,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_3,major_subset
storm_022_2011092623_20110924,2011-09-24,storm_022_2011092623,2011-09-26T23:30:00Z,-118.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_2,major_subset
storm_022_2011092623_20110925,2011-09-25,storm_022_2011092623,2011-09-26T23:30:00Z,-118.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_1,major_subset
storm_022_2011092623_20110926,2011-09-26,storm_022_2011092623,2011-09-26T23:30:00Z,-118.0,major_storm,dst_threshold_strong_pm2_p3,storm_min_day,major_subset
storm_022_2011092623_20110927,2011-09-27,storm_022_2011092623,2011-09-26T23:30:00Z,-118.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_1,major_subset
storm_022_2011092623_20110928,2011-09-28,storm_022_2011092623,2011-09-26T23:30:00Z,-118.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_2,major_subset
storm_022_2011092623_20110929,2011-09-29,storm_022_2011092623,2011-09-26T23:30:00Z,-118.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_3,major_subset
storm_025_2011102501_20111023,2011-10-23,storm_025_2011102501,2011-10-25T01:30:00Z,-147.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_2,major_subset
storm_025_2011102501_20111024,2011-10-24,storm_025_2011102501,2011-10-25T01:30:00Z,-147.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_1,major_subset
storm_025_2011102501_20111025,2011-10-25,storm_025_2011102501,2011-10-25T01:30:00Z,-147.0,major_storm,dst_threshold_strong_pm2_p3,storm_min_day,major_subset
storm_025_2011102501_20111026,2011-10-26,storm_025_2011102501,2011-10-25T01:30:00Z,-147.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_1,major_subset
storm_025_2011102501_20111027,2011-10-27,storm_025_2011102501,2011-10-25T01:30:00Z,-147.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_2,major_subset
storm_025_2011102501_20111028,2011-10-28,storm_025_2011102501,2011-10-25T01:30:00Z,-147.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_plus_3,major_subset
storm_039_2012030908_20120307,2012-03-07,storm_039_2012030908,2012-03-09T08:30:00Z,-145.0,major_storm,dst_threshold_strong_pm2_p3,storm_day_minus_2,major_subset
