metric,value,interpretation,last_run_utc
N_seed_events_checked,6,All seed events in reconciled availability table.,2026-06-29T10:35:38+00:00
N_seed_events_with_SAPS_channel,2,Events with non-rejected seed SAPS channel object rows; currently smoke-test only.,2026-06-29T10:35:38+00:00
N_seed_events_with_GUVI_ON2,2,Events with n_on2_valid > 0 in seed O/N2 opportunity table.,2026-06-29T10:35:38+00:00
N_seed_events_with_SAPS_and_ON2_0_1h,1,Events with recommended 0-1 h SAPS/O/N2 matches.,2026-06-29T10:35:38+00:00
N_seed_events_with_SAPS_and_ON2_1_3h,2,Events with recommended 1-3 h SAPS/O/N2 matches.,2026-06-29T10:35:38+00:00
N_seed_events_with_SAPS_and_ON2_3_6h,0,Events with recommended 3-6 h SAPS/O/N2 matches.,2026-06-29T10:35:38+00:00
N_seed_events_with_SAPS_no_ON2,0,No validation SAPS channel is currently confirmed without O/N2; validation events are instrument-missing.,2026-06-29T10:35:38+00:00
N_ON2_opportunity_no_SAPS,1,Events with O/N2 available but SAPS detector data unavailable.,2026-06-29T10:35:38+00:00
N_rejected_due_to_no_SuperDARN_echo_or_quantitative_data,3,Rejected/no-data SuperDARN validation rows.,2026-06-29T10:35:38+00:00
N_rejected_due_to_missing_DMSP,3,Seed events whose DMSP state is download_queue_only.,2026-06-29T10:35:38+00:00
