priority_rank,storm_group_id,storm_min_time_ut,min_symh_or_dst,n_event_rows,date_min,date_max,season_months,known_thesis_event_inclusion,st_patrick_anchor_inclusion,existing_local_data_availability_score,expected_guvi_day_dusk_on2_score,expected_dmsp_f16_f17_f18_coverage_score,expected_superdarn_mlt_coverage_score,ssusi_boundary_support_likelihood_score,season_score,severity_score,priority_bonus,download_priority_score,priority_reason
1,storm_153_2015031722,2015-03-17T22:30:00Z,-234.0,6,2015-03-15,2015-03-20,3,False,True,1.0,0.8,0.9,0.9,0.8,1.0,0.936,2.0,11.344,st_patrick_smoke_test_anchor
2,storm_025_2011102501,2011-10-25T01:30:00Z,-147.0,6,2011-10-23,2011-10-28,10,True,False,0.0,0.8,0.7,0.9,0.6,1.0,0.588,2.0,8.452,thesis_event_2011_10_25
3,storm_039_2012030908,2012-03-09T08:30:00Z,-145.0,6,2012-03-07,2012-03-12,3,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.58,0.0,6.12,ranked_by_severity_season_and_expected_coverage
4,storm_078_2013031720,2013-03-17T20:30:00Z,-132.0,6,2013-03-15,2013-03-20,3,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.528,0.0,5.912,ranked_by_severity_season_and_expected_coverage
5,storm_202_2015100722,2015-10-07T22:30:00Z,-130.0,6,2015-10-05,2015-10-10,10,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.52,0.0,5.88,ranked_by_severity_season_and_expected_coverage
6,storm_065_2012100104,2012-10-01T04:30:00Z,-122.0,6,2012-09-29,2012-10-04,9;10,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.488,0.0,5.752,ranked_by_severity_season_and_expected_coverage
7,storm_051_2012042404,2012-04-24T04:30:00Z,-120.0,6,2012-04-22,2012-04-27,4,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.48,0.0,5.72,ranked_by_severity_season_and_expected_coverage
8,storm_174_2015062304,2015-06-23T04:30:00Z,-198.0,6,2015-06-21,2015-06-26,6,False,False,0.0,0.5,0.7,0.6,0.6,0.3,0.792,0.0,5.688,ranked_by_severity_season_and_expected_coverage
9,storm_022_2011092623,2011-09-26T23:30:00Z,-118.0,6,2011-09-24,2011-09-29,9,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.472,0.0,5.688,ranked_by_severity_season_and_expected_coverage
10,storm_066_2012100908,2012-10-09T08:30:00Z,-109.0,6,2012-10-07,2012-10-12,10,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.436,0.0,5.544,ranked_by_severity_season_and_expected_coverage
11,storm_195_2015090912,2015-09-09T12:30:00Z,-105.0,6,2015-09-07,2015-09-12,9,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.42,0.0,5.48,ranked_by_severity_season_and_expected_coverage
12,storm_201_2015100709,2015-10-07T09:30:00Z,-101.0,6,2015-10-05,2015-10-10,10,False,False,0.0,0.8,0.7,0.6,0.6,1.0,0.404,0.0,5.416,ranked_by_severity_season_and_expected_coverage
13,storm_223_2015122022,2015-12-20T22:30:00Z,-166.0,6,2015-12-18,2015-12-23,12,False,False,0.0,0.5,0.7,0.6,0.6,0.3,0.664,0.0,5.176,ranked_by_severity_season_and_expected_coverage
14,storm_090_2013060108,2013-06-01T08:30:00Z,-124.0,6,2013-05-30,2013-06-04,5;6,False,False,0.0,0.5,0.7,0.6,0.6,0.6,0.496,0.0,4.924,ranked_by_severity_season_and_expected_coverage
15,storm_114_2014021908,2014-02-19T08:30:00Z,-119.0,6,2014-02-17,2014-02-22,2,False,False,0.0,0.5,0.7,0.6,0.6,0.6,0.476,0.0,4.844,ranked_by_severity_season_and_expected_coverage
16,storm_014_2011080603,2011-08-06T03:30:00Z,-115.0,6,2011-08-04,2011-08-09,8,False,False,0.0,0.5,0.7,0.6,0.6,0.6,0.46,0.0,4.78,ranked_by_severity_season_and_expected_coverage
17,storm_060_2012071516,2012-07-15T16:30:00Z,-139.0,6,2012-07-13,2012-07-18,7,False,False,0.0,0.5,0.7,0.6,0.6,0.3,0.556,0.0,4.744,ranked_by_severity_season_and_expected_coverage
18,storm_072_2012111407,2012-11-14T07:30:00Z,-108.0,6,2012-11-12,2012-11-17,11,False,False,0.0,0.5,0.7,0.6,0.6,0.6,0.432,0.0,4.668,ranked_by_severity_season_and_expected_coverage
19,storm_192_2015082720,2015-08-27T20:30:00Z,-103.0,6,2015-08-25,2015-08-30,8,False,False,0.0,0.5,0.7,0.6,0.6,0.6,0.412,0.0,4.588,ranked_by_severity_season_and_expected_coverage
20,storm_145_2015010711,2015-01-07T11:30:00Z,-107.0,6,2015-01-05,2015-01-10,1,False,False,0.0,0.5,0.7,0.6,0.6,0.3,0.428,0.0,4.232,ranked_by_severity_season_and_expected_coverage
21,storm_225_2015123123,2015-12-31T23:30:00Z,-105.0,3,2015-12-29,2015-12-31,12,False,False,0.0,0.5,0.7,0.6,0.6,0.3,0.42,0.0,4.2,ranked_by_severity_season_and_expected_coverage
22,storm_093_2013062906,2013-06-29T06:30:00Z,-102.0,6,2013-06-27,2013-07-02,6;7,False,False,0.0,0.5,0.7,0.6,0.6,0.3,0.408,0.0,4.152,ranked_by_severity_season_and_expected_coverage
