event_id,event_date,data_group,source_name,satellite_or_instrument,required_start_ut,required_end_ut,required_files_or_patterns,priority,reason
available_20150316,2015-03-16,guvi_on2,TIMED/GUVI L3 O/N2,TIMED_GUVI,2015-03-15T00:00:00,2015-03-18T00:00:00,timed_guvi_l3-on2_2015074_*.nc;timed_guvi_l3-on2_2015075_*.nc;timed_guvi_l3-on2_2015076_*.nc,required_for_primary_GUVI_statistics,main O/N2 source
available_20150316,2015-03-16,dmsp_ssies,DMSP SSIES,DMSP_F16_F17_F18_F19,2015-03-15T00:00:00,2015-03-18T00:00:00,dms_20150315_*s1.001.nc;dms_20150316_*s1.001.nc;dms_20150317_*s1.001.nc,required_for_primary_GUVI_statistics,ion drift and SAPS crossing detection
available_20150316,2015-03-16,superdarn,SuperDARN map/fit/grid or quick-look,SuperDARN,2015-03-15T00:00:00,2015-03-18T00:00:00,convection_maps_*_20150315_*.png OR SuperDARN map/fit/grid 20150315;convection_maps_*_20150316_*.png OR SuperDARN map/fit/grid 20150316;convection_maps_*_20150317_*.png OR SuperDARN map/fit/grid 20150317,support_or_context,two-dimensional SAPS channel support
available_20150316,2015-03-16,ssusi,DMSP SSUSI,DMSP_SSUSI,2015-03-15T00:00:00,2015-03-18T00:00:00,dmspf*_ssusi_*_2015074*.nc;dmspf*_ssusi_*_2015075*.nc;dmspf*_ssusi_*_2015076*.nc,support_or_context,auroral boundary and optional O/N2-sensitive support
available_20150316,2015-03-16,indices,OMNI/SYM-H/AE/Dst/Kp,Geomagnetic_indices,2015-03-15T00:00:00,2015-03-18T00:00:00,OMNI/SYM-H/AE/Dst/Kp covering 2015-03-15;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-16;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-17,required_for_primary_GUVI_statistics,storm and substorm phase tagging
available_20150317,2015-03-17,guvi_on2,TIMED/GUVI L3 O/N2,TIMED_GUVI,2015-03-16T00:00:00,2015-03-19T00:00:00,timed_guvi_l3-on2_2015075_*.nc;timed_guvi_l3-on2_2015076_*.nc;timed_guvi_l3-on2_2015077_*.nc,required_for_primary_GUVI_statistics,main O/N2 source
available_20150317,2015-03-17,dmsp_ssies,DMSP SSIES,DMSP_F16_F17_F18_F19,2015-03-16T00:00:00,2015-03-19T00:00:00,dms_20150316_*s1.001.nc;dms_20150317_*s1.001.nc;dms_20150318_*s1.001.nc,required_for_primary_GUVI_statistics,ion drift and SAPS crossing detection
available_20150317,2015-03-17,superdarn,SuperDARN map/fit/grid or quick-look,SuperDARN,2015-03-16T00:00:00,2015-03-19T00:00:00,convection_maps_*_20150316_*.png OR SuperDARN map/fit/grid 20150316;convection_maps_*_20150317_*.png OR SuperDARN map/fit/grid 20150317;convection_maps_*_20150318_*.png OR SuperDARN map/fit/grid 20150318,support_or_context,two-dimensional SAPS channel support
available_20150317,2015-03-17,ssusi,DMSP SSUSI,DMSP_SSUSI,2015-03-16T00:00:00,2015-03-19T00:00:00,dmspf*_ssusi_*_2015075*.nc;dmspf*_ssusi_*_2015076*.nc;dmspf*_ssusi_*_2015077*.nc,support_or_context,auroral boundary and optional O/N2-sensitive support
available_20150317,2015-03-17,indices,OMNI/SYM-H/AE/Dst/Kp,Geomagnetic_indices,2015-03-16T00:00:00,2015-03-19T00:00:00,OMNI/SYM-H/AE/Dst/Kp covering 2015-03-16;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-17;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-18,required_for_primary_GUVI_statistics,storm and substorm phase tagging
available_20150318,2015-03-18,guvi_on2,TIMED/GUVI L3 O/N2,TIMED_GUVI,2015-03-17T00:00:00,2015-03-20T00:00:00,timed_guvi_l3-on2_2015076_*.nc;timed_guvi_l3-on2_2015077_*.nc;timed_guvi_l3-on2_2015078_*.nc,required_for_primary_GUVI_statistics,main O/N2 source
available_20150318,2015-03-18,dmsp_ssies,DMSP SSIES,DMSP_F16_F17_F18_F19,2015-03-17T00:00:00,2015-03-20T00:00:00,dms_20150317_*s1.001.nc;dms_20150318_*s1.001.nc;dms_20150319_*s1.001.nc,required_for_primary_GUVI_statistics,ion drift and SAPS crossing detection
available_20150318,2015-03-18,superdarn,SuperDARN map/fit/grid or quick-look,SuperDARN,2015-03-17T00:00:00,2015-03-20T00:00:00,convection_maps_*_20150317_*.png OR SuperDARN map/fit/grid 20150317;convection_maps_*_20150318_*.png OR SuperDARN map/fit/grid 20150318;convection_maps_*_20150319_*.png OR SuperDARN map/fit/grid 20150319,support_or_context,two-dimensional SAPS channel support
available_20150318,2015-03-18,ssusi,DMSP SSUSI,DMSP_SSUSI,2015-03-17T00:00:00,2015-03-20T00:00:00,dmspf*_ssusi_*_2015076*.nc;dmspf*_ssusi_*_2015077*.nc;dmspf*_ssusi_*_2015078*.nc,support_or_context,auroral boundary and optional O/N2-sensitive support
available_20150318,2015-03-18,indices,OMNI/SYM-H/AE/Dst/Kp,Geomagnetic_indices,2015-03-17T00:00:00,2015-03-20T00:00:00,OMNI/SYM-H/AE/Dst/Kp covering 2015-03-17;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-18;OMNI/SYM-H/AE/Dst/Kp covering 2015-03-19,required_for_primary_GUVI_statistics,storm and substorm phase tagging
validation_20140219,2014-02-19,guvi_on2,TIMED/GUVI L3 O/N2,TIMED_GUVI,2014-02-18T00:00:00,2014-02-21T00:00:00,timed_guvi_l3-on2_2014049_*.nc;timed_guvi_l3-on2_2014050_*.nc;timed_guvi_l3-on2_2014051_*.nc,required_for_primary_GUVI_statistics,main O/N2 source
validation_20140219,2014-02-19,dmsp_ssies,DMSP SSIES,DMSP_F16_F17_F18_F19,2014-02-18T00:00:00,2014-02-21T00:00:00,dms_20140218_*s1.001.nc;dms_20140219_*s1.001.nc;dms_20140220_*s1.001.nc,required_for_primary_GUVI_statistics,ion drift and SAPS crossing detection
validation_20140219,2014-02-19,superdarn,SuperDARN map/fit/grid or quick-look,SuperDARN,2014-02-18T00:00:00,2014-02-21T00:00:00,convection_maps_*_20140218_*.png OR SuperDARN map/fit/grid 20140218;convection_maps_*_20140219_*.png OR SuperDARN map/fit/grid 20140219;convection_maps_*_20140220_*.png OR SuperDARN map/fit/grid 20140220,support_or_context,two-dimensional SAPS channel support
