"repository_path","source_workspace_relative","bytes","sha256","role"
"data_samples/progress_snapshot_20260908/dmsp_guvi_time_tolerance_summary.csv","data_samples/screening_outputs/dmsp_guvi_time_tolerance_summary.csv","503","233a4237ccb087ccc290c74e7f16d5ce30f8168c40cc38b7cccdce942daba8c7","Nested time-tolerance counts"
"data_samples/progress_snapshot_20260908/dmsp_guvi_candidates_le_0p5h.csv","data_samples/screening_outputs/dmsp_guvi_candidates_le_0p5h.csv","6165","cef5166a87484d62bada8cde59f63b749785c322589a73c092a5b99c155d0a7c","All nine candidates at 0.5 h"
"data_samples/progress_snapshot_20260908/tight_dmsp_guvi_figure_summary.csv","event_overlay_figures/dmsp_guvi_tight_observations/dmsp_guvi_tight_observation_figures_summary.csv (selected columns)","2171","7fa5c692ee51de11ae3af33a5ca914d3cd1ac2621a8b7602b8ae38ed69fb13e8","Five plotted tight candidates"
"data_samples/progress_snapshot_20260908/samepass_ssusi_guvi_summary.csv","event_overlay_figures/dmsp_guvi_2h_samepass_ssusi_ssies_pages/dmsp_guvi_2h_samepass_ssusi_ssies_pages_summary.csv (selected columns)","2600","73c3a2806f5202c148537a42bcd0e52aa36b168e5e4f3bb1aa244f62aa158399","Same-pass DMSP-SSUSI candidate summary"
"data_samples/progress_snapshot_20260908/f16_normalized_proxy_0900_summary.csv","event_overlay_figures/dmsp_ssusi_20150317_0711_f16_normalized_proxy/f16_normalized_proxy_0900_summary.csv","826","458badc97cb8dba9de1e965251bbc9232fe8de451b8be5c000865eb19414914e","Flagship normalized SSUSI proxy"
"data_samples/progress_snapshot_20260908/f16_normalized_proxy_method_note.md","event_overlay_figures/dmsp_ssusi_20150317_0711_f16_normalized_proxy/f16_normalized_proxy_method_note.md","1072","d47b768b61eb7b542998a8b999e6f9520c995ffa11311e3f1777b12592465ac5","Flagship proxy method boundary"
"data_samples/progress_snapshot_20260908/f16_ssusi_official_on2_0900_summary.csv","event_overlay_figures/dmsp_ssusi_20150317_0711_f16_official_on2/f16_ssusi_official_on2_0900_summary.csv (selected columns)","640","1fc9274fa4acb82b309da6a44009addf67ab87c85f82e39feb0e8c908e4af50f","Official SSUSI ON2 availability check"
"data_samples/progress_snapshot_20260908/f16_ssusi_official_on2_0900_method_note.md","event_overlay_figures/dmsp_ssusi_20150317_0711_f16_official_on2/f16_ssusi_official_on2_0900_method_note.md","754","b00250282b82c41a9bc777472551e5ca47df48a74276b191ced126cb75820aee","Official ON2 interpretation boundary"
"data_samples/progress_snapshot_20260908/event_universe_expanded_2011_2015.csv","data_samples/screening_outputs/event_universe_expanded_2011_2015.csv","125980","a9ec164fa436826237d868025840e7afc9b12134186b2016ca839b4a20ac9992","737 storm-phase/date analysis rows"
"summaries/ssusi_on2_proxy_usability_report_20150317_f16.md","summaries/ssusi_on2_proxy_usability_report_20150317_f16.md","16018","d30e95d1c66400bc159d8ea2f389342ce24530ab76f5feeb96832b2acb22fc47","Detailed proxy usability report"
"summaries/screening_outputs/event_20150317_hemisphere_observation_summary.md","summaries/screening_outputs/event_20150317_hemisphere_observation_summary.md","5137","99e560f653238e41f8a6fe7ae9361a89c1197efcd9eac998d5a46bfc3c91b973","Hemisphere opportunity and selection summary"
"figures/progress_snapshot_20260908/obs_01_F15_20150317_1428_guvi_dmsp_tight.png","event_overlay_figures/dmsp_guvi_tight_observations/obs_01_F15_20150317_1428_guvi_dmsp_tight.png","384507","338f16415bca3e77ead180702b22660b5cbcf621aba212d34deaad8b8855cfab","Tight candidate audit figure 1"
"figures/progress_snapshot_20260908/obs_02_F15_20150318_2059_guvi_dmsp_tight.png","event_overlay_figures/dmsp_guvi_tight_observations/obs_02_F15_20150318_2059_guvi_dmsp_tight.png","388737","23aae718eb84ef21b3918a95756f9c5db53d69052d1817c8e907a213bfd63c88","Tight candidate audit figure 2"
"figures/progress_snapshot_20260908/obs_03_F15_20150318_1915_guvi_dmsp_tight.png","event_overlay_figures/dmsp_guvi_tight_observations/obs_03_F15_20150318_1915_guvi_dmsp_tight.png","395606","cc59824edbd8c2af18f97c9e882bac4ea790b44694eca2efbb60b3bface6bc87","Tight candidate audit figure 3"
"figures/progress_snapshot_20260908/obs_04_F15_20150317_2115_guvi_dmsp_tight.png","event_overlay_figures/dmsp_guvi_tight_observations/obs_04_F15_20150317_2115_guvi_dmsp_tight.png","409609","d48dcc021346fc9dcbe284c52dda49faaacfdbbb299b7c70fdfaca4e40f1a8c4","Tight candidate audit figure 4"
"figures/progress_snapshot_20260908/obs_05_F15_20150318_1552_guvi_dmsp_tight.png","event_overlay_figures/dmsp_guvi_tight_observations/obs_05_F15_20150318_1552_guvi_dmsp_tight.png","377134","e9c48d5695e7b1fabbb34ca4925b67d89e1da3ebc026c7fb775f302412cf5695","Tight candidate audit figure 5"
"figures/progress_snapshot_20260908/flagship_f16_ssusi_normalized_proxy_20150317_0859.png","event_overlay_figures/dmsp_ssusi_20150317_0711_f16_normalized_proxy/f16_focus_0900_south_only_ssusi_normalized_proxy.png","588624","11692e8c30f35ce980b593b12348d846d2b75177ca543046ed89f63da7982c6b","Independent flagship SSUSI proxy figure"
