event_id,event_date,data_group,current_state,queue_status,priority_window_ut,expected_file_pattern,local_target_dir,remote_source_hint,blocking_for_detector_or_matching,next_action
available_20150316,2015-03-16,guvi_on2,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150316,2015-03-16,dmsp_ssies,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150316,2015-03-16,superdarn,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150316,2015-03-16,ssusi,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150316,2015-03-16,indices,parsed_ok_science_ready,,,,,,False,Use for storm/substorm tagging.
available_20150317,2015-03-17,guvi_on2,raw_file_present_not_parsed,,,,,,False,Run/finish guvi_on2 reusable normalizer and science-quality checks.
available_20150317,2015-03-17,dmsp_ssies,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150317,2015-03-17,superdarn,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150317,2015-03-17,ssusi,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150317,2015-03-17,indices,parsed_ok_science_ready,,,,,,False,Use for storm/substorm tagging.
available_20150318,2015-03-18,guvi_on2,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150318,2015-03-18,dmsp_ssies,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150318,2015-03-18,superdarn,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150318,2015-03-18,ssusi,raw_file_present_missing_variables,,,,,,False,"Complete missing event-window coverage or required variables, then rerun normalizer."
available_20150318,2015-03-18,indices,parsed_ok_science_ready,,,,,,False,Use for storm/substorm tagging.
validation_20140219,2014-02-19,guvi_on2,download_queue_only,download_queue_only,2014-02-19T03:00:00Z to 2014-02-19T07:00:00Z,timed_guvi_l3-on2_2014049_*.nc;timed_guvi_l3-on2_2014050_*.nc;timed_guvi_l3-on2_2014051_*.nc,data_raw\guvi_on2\2014\20140219,TIMED/GUVI L3 O/N2 archive; verify NASA/SPDF or GUVI data service access.,True,"Acquire or link files from seed-event queue, then rerun reconciliation and normalizer."
validation_20140219,2014-02-19,dmsp_ssies,download_queue_only,download_queue_only,2014-02-19T03:00:00Z to 2014-02-19T07:00:00Z,dms_20140218_*s1.001.nc;dms_20140219_*s1.001.nc;dms_20140220_*s1.001.nc,data_raw\dmsp_ssies\2014\20140219,DMSP SSIES/SSJ via CEDAR Madrigal or local DMSP archive; likely manual/authenticated retrieval.,True,"Acquire or link files from seed-event queue, then rerun reconciliation and normalizer."
validation_20140219,2014-02-19,superdarn,download_queue_only,download_queue_only,2014-02-19T03:00:00Z to 2014-02-19T07:00:00Z,convection_maps_*_20140218_*.png OR SuperDARN map/fit/grid 20140218;convection_maps_*_20140219_*.png OR SuperDARN map/fit/grid 20140219;convection_maps_*_20140220_*.png OR SuperDARN map/fit/grid 20140220,data_raw\superdarn\2014\20140219,SuperDARN map/fit/grid via SuperDARN data services/RST or quick-look map archive.,True,"Acquire or link files from seed-event queue, then rerun reconciliation and normalizer."
validation_20140219,2014-02-19,ssusi,download_queue_only,download_queue_only,2014-02-19T03:00:00Z to 2014-02-19T07:00:00Z,dmspf*_ssusi_*_2014049*.nc;dmspf*_ssusi_*_2014050*.nc;dmspf*_ssusi_*_2014051*.nc,data_raw\ssusi\2014\20140219,DMSP SSUSI EDR/SDR archive; verify JHU/APL/SSUSI access and product type.,False,"Acquire or link files from seed-event queue, then rerun reconciliation and normalizer."
validation_20140219,2014-02-19,indices,parsed_ok_science_ready,already_acquired_normalized,2014-02-19T03:00:00Z to 2014-02-19T07:00:00Z,OMNI/SYM-H/AE/Dst/Kp covering 2014-02-18;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-19;OMNI/SYM-H/AE/Dst/Kp covering 2014-02-20,data_raw\indices\2014\20140219,"OMNIWeb, WDC Kyoto Dst, SYM-H/AE/AL, GFZ Kp.",False,Use for storm/substorm tagging.
validation_20111025,2011-10-25,guvi_on2,download_queue_only,download_queue_only,2011-10-25T03:00:00Z to 2011-10-25T07:00:00Z,timed_guvi_l3-on2_2011297_*.nc;timed_guvi_l3-on2_2011298_*.nc;timed_guvi_l3-on2_2011299_*.nc,data_raw\guvi_on2\2011\20111025,TIMED/GUVI L3 O/N2 archive; verify NASA/SPDF or GUVI data service access.,True,"Acquire or link files from seed-event queue, then rerun reconciliation and normalizer."
